epoch,AUC,accuracy,loss,val_AUC,val_accuracy,val_loss
0,0.5043764114379883,0.5378915667533875,0.7035425305366516,0.0,0.0,0.899723470211029
1,0.517867922782898,0.606431245803833,0.681097686290741,0.0,0.0,0.8204320073127747
2,0.53673255443573,0.6037951111793518,0.6685575842857361,0.0,0.0,0.7941450476646423
3,0.5711228847503662,0.6166433095932007,0.6563105583190918,0.0,0.0,0.8371928930282593
4,0.6143289804458618,0.625145435333252,0.6422914862632751,0.0,0.012254203669726849,0.8384385108947754
5,0.6601476073265076,0.6358799934387207,0.622857928276062,0.0,0.38757482171058655,0.8016324639320374
6,0.7083982825279236,0.6562804579734802,0.5981749892234802,0.0,0.702289342880249,0.7661600708961487
7,0.7448939085006714,0.6822381019592285,0.5750003457069397,0.0,0.7734397053718567,0.7605264186859131
8,0.7651705741882324,0.7049184441566467,0.5557843446731567,0.0,0.8107722997665405,0.7262561321258545
9,0.7779401540756226,0.72313392162323,0.5447131395339966,0.0,0.7979481220245361,0.7111285924911499
10,0.7886074185371399,0.7313510775566101,0.5350219011306763,0.0,0.7881637811660767,0.6944168210029602
11,0.7991904020309448,0.7459092140197754,0.5250694751739502,0.0,0.7930084466934204,0.6601494550704956
12,0.8073689937591553,0.7541738748550415,0.5161881446838379,0.0,0.7827491164207458,0.6538966298103333
13,0.8165237307548523,0.7612510919570923,0.5058993101119995,0.0,0.8017478585243225,0.6081413626670837
14,0.8223172426223755,0.7650034427642822,0.4997302293777466,0.0,0.7910135984420776,0.6058534383773804
15,0.8289749622344971,0.7713919281959534,0.49112510681152344,0.0,0.7851239442825317,0.5912184119224548
16,0.8334576487541199,0.7749068140983582,0.4858793616294861,0.0,0.783129096031189,0.573470413684845
17,0.8389769196510315,0.7777566909790039,0.4783562123775482,0.0,0.7853139638900757,0.5514137148857117
18,0.8421679735183716,0.7806777954101562,0.4742523431777954,0.0,0.7825591564178467,0.5449439883232117
19,0.8472498655319214,0.7861163020133972,0.467421293258667,0.0,0.7992780208587646,0.5166568160057068
20,0.850335955619812,0.7909373641014099,0.46312662959098816,0.0,0.7850289940834045,0.5265358090400696
21,0.8525334596633911,0.7893462181091309,0.46005216240882874,0.0,0.7787593603134155,0.5285431146621704
22,0.8562127947807312,0.7929560542106628,0.4551413357257843,0.0,0.7951933145523071,0.4976714849472046
23,0.8559232950210571,0.7920535802841187,0.45528170466423035,0.0,0.7960482835769653,0.49216485023498535
24,0.859761118888855,0.794974684715271,0.45019766688346863,0.0,0.7877838015556335,0.4978733956813812
25,0.8634387850761414,0.7986320853233337,0.44452038407325745,0.0,0.794908344745636,0.49272680282592773
26,0.8651741743087769,0.7990832924842834,0.441998153924942,0.0,0.7754346132278442,0.5075610280036926
27,0.8656634092330933,0.7995820045471191,0.44106635451316833,0.0,0.7897786498069763,0.48752233386039734
28,0.8665290474891663,0.8014581799507141,0.43977808952331543,0.0,0.7933884263038635,0.481223464012146
29,0.8678668141365051,0.799297034740448,0.4382106065750122,0.0,0.788733720779419,0.4869551956653595
30,0.8682181239128113,0.8031681180000305,0.4374931752681732,0.0,0.7973781824111938,0.4664297103881836
31,0.8693835735321045,0.8005082011222839,0.4357312023639679,0.0,0.7952883243560791,0.47107037901878357
32,0.8726310133934021,0.8036906123161316,0.4309329688549042,0.0,0.7870238423347473,0.48349761962890625
33,0.872826099395752,0.8061842322349548,0.43051519989967346,0.0,0.7944333553314209,0.46718454360961914
34,0.8747218251228333,0.8057567477226257,0.427404522895813,0.0,0.7879737615585327,0.4740557372570038
35,0.8749368786811829,0.8076804280281067,0.42736274003982544,0.0,0.7915835380554199,0.46242353320121765
36,0.8771159648895264,0.8074666857719421,0.4235721230506897,0.0,0.7859789133071899,0.4684240520000458
37,0.8767957091331482,0.8076092004776001,0.424102246761322,0.0,0.792058527469635,0.4599621891975403
38,0.8781908750534058,0.8096991181373596,0.4217893183231354,0.0,0.7961432337760925,0.4547373056411743
39,0.878516674041748,0.8095090985298157,0.42181429266929626,0.0,0.789303719997406,0.4572916626930237
40,0.8795220255851746,0.8103640675544739,0.4203336238861084,0.0,0.7794243097305298,0.4752914607524872
41,0.8797740936279297,0.8091766238212585,0.41932258009910583,0.0,0.7990880608558655,0.4435088336467743
42,0.8800880312919617,0.8106728196144104,0.4190089702606201,0.0,0.7932934165000916,0.450394868850708
