epoch,accuracy,loss,val_accuracy,val_loss
0,0.614751398563385,0.6604301333427429,0.0,0.8487178087234497
1,0.6261387467384338,0.625342845916748,0.10865439474582672,0.828284740447998
2,0.6350588202476501,0.595971405506134,0.6051433086395264,0.8096827268600464
3,0.6724710464477539,0.5723872780799866,0.7555513381958008,0.7857128977775574
4,0.7113778591156006,0.5565875768661499,0.7788005471229553,0.7103304862976074
5,0.7307600975036621,0.5384806990623474,0.7363826036453247,0.6689023375511169
6,0.7395853400230408,0.5245292782783508,0.7365723848342896,0.6011989116668701
7,0.7510913014411926,0.5101855397224426,0.7446384429931641,0.5628644824028015
8,0.7602960467338562,0.49670758843421936,0.742266058921814,0.5456227660179138
9,0.7658948302268982,0.4888998866081238,0.7535585761070251,0.5207645893096924
10,0.7741981148719788,0.47850894927978516,0.7645663022994995,0.4907228350639343
11,0.7776380777359009,0.4738449454307556,0.7690263986587524,0.47253966331481934
12,0.7789903283119202,0.4684491455554962,0.7597267031669617,0.48439106345176697
13,0.784778892993927,0.461853951215744,0.7684569954872131,0.46298301219940186
14,0.7848026156425476,0.45962274074554443,0.7584930658340454,0.4720199704170227
15,0.7887407541275024,0.45610982179641724,0.7620990872383118,0.46024686098098755
16,0.792228102684021,0.45129650831222534,0.7608654499053955,0.4613323211669922
17,0.7955020070075989,0.4455302655696869,0.7699753046035767,0.44506776332855225
18,0.7959290146827698,0.4447544813156128,0.7541279196739197,0.46768075227737427
19,0.7965220808982849,0.4425036907196045,0.7639020681381226,0.4491909444332123
20,0.799724817276001,0.439580500125885,0.7645663022994995,0.4464770555496216
21,0.798111617565155,0.4382367730140686,0.7595369219779968,0.4486323893070221
22,0.8021446466445923,0.43361732363700867,0.7760486006736755,0.4284026622772217
23,0.8034493923187256,0.43365514278411865,0.7676978707313538,0.44794315099716187
24,0.8002467155456543,0.4334379732608795,0.7750047445297241,0.4336026906967163
25,0.8029037714004517,0.43090876936912537,0.7692161798477173,0.43454059958457947
26,0.8059403896331787,0.4296812117099762,0.7667489051818848,0.4386085569858551
27,0.8062487840652466,0.4272952973842621,0.7836401462554932,0.4247315227985382
28,0.8077434301376343,0.42572221159935,0.7790852189064026,0.42704254388809204
29,0.8054896593093872,0.42488229274749756,0.7787056565284729,0.4286642372608185
30,0.8071503043174744,0.4230276346206665,0.7790852189064026,0.4200814962387085
31,0.8087635040283203,0.4192606806755066,0.7848737835884094,0.4216170608997345
32,0.8100445866584778,0.421126127243042,0.7790852189064026,0.4341600239276886
33,0.8081704378128052,0.4199511706829071,0.7918959856033325,0.4107472598552704
34,0.8105428218841553,0.41875362396240234,0.7900930047035217,0.40597864985466003
35,0.8111833333969116,0.41876739263534546,0.7861074209213257,0.4153493642807007
36,0.8105190992355347,0.41663259267807007,0.7894287109375,0.41206979751586914
37,0.8122746348381042,0.4150620996952057,0.7973998785018921,0.40578627586364746
38,0.8113256692886353,0.41478925943374634,0.7916113138198853,0.4152652621269226
39,0.8152400851249695,0.41375479102134705,0.7928449511528015,0.41121724247932434
40,0.8137692213058472,0.4134289622306824,0.8037578463554382,0.4005213975906372
41,0.815026581287384,0.4116774797439575,0.7996773719787598,0.4066304564476013
42,0.814077615737915,0.4109463691711426,0.8108749389648438,0.39324188232421875
43,0.8141725063323975,0.4105977714061737,0.8057506084442139,0.4118008613586426
44,0.814670741558075,0.4102812707424164,0.8029037714004517,0.40406426787376404
45,0.8146470189094543,0.4099118709564209,0.8082178831100464,0.39733514189720154
46,0.8153586983680725,0.40927547216415405,0.813721776008606,0.39671725034713745
47,0.816521167755127,0.40973514318466187,0.8106851577758789,0.4031182825565338
48,0.8173277378082275,0.4084964692592621,0.8126779198646545,0.39495420455932617
49,0.817707359790802,0.40517494082450867,0.8122034668922424,0.3969157636165619
50,0.8180394768714905,0.405673623085022,0.8155247569084167,0.3895065188407898
51,0.8181580901145935,0.4058555066585541,0.81210857629776,0.3985919952392578
52,0.8179683089256287,0.40593576431274414,0.8100208640098572,0.3938557803630829
53,0.8198187351226807,0.40218499302864075,0.8202695250511169,0.38690251111984253
54,0.8170905113220215,0.4054141938686371,0.8161890506744385,0.39668455719947815
55,0.8173989653587341,0.4031335711479187,0.8256784677505493,0.38049593567848206
56,0.8190121650695801,0.4038068652153015,0.8203644156455994,0.39515024423599243
57,0.8171854019165039,0.4033869802951813,0.8259631991386414,0.3877342641353607
