epoch,auc,loss,val_auc,val_loss
0,0.6590368747711182,0.6559656262397766,0.7790200114250183,0.5880850553512573
1,0.7673574090003967,0.584526002407074,0.8186014890670776,0.5295743942260742
2,0.796308696269989,0.550987958908081,0.8333984017372131,0.5078601837158203
3,0.8133318424224854,0.5312778949737549,0.8445706367492676,0.4966517686843872
4,0.8269588947296143,0.5120759010314941,0.85382080078125,0.4832647442817688
5,0.8366674184799194,0.49934622645378113,0.862160325050354,0.4753144085407257
6,0.843866229057312,0.4889734089374542,0.8683093786239624,0.4634827673435211
7,0.8542989492416382,0.4745897650718689,0.8733139634132385,0.45529991388320923
8,0.8601630926132202,0.46640199422836304,0.8775278329849243,0.44657862186431885
9,0.8636896014213562,0.4614100754261017,0.8809433579444885,0.43341463804244995
10,0.868049681186676,0.4545687437057495,0.8834033012390137,0.4316965341567993
11,0.8712052702903748,0.4499638080596924,0.8851889371871948,0.4313717186450958
12,0.8732966184616089,0.4467269480228424,0.8867965936660767,0.4346264600753784
13,0.8775591850280762,0.4404286742210388,0.8879966139793396,0.43114399909973145
14,0.8794257044792175,0.4371177554130554,0.8895782232284546,0.4246867299079895
15,0.88106369972229,0.43458738923072815,0.8907692432403564,0.4213469624519348
16,0.8826798796653748,0.4312942922115326,0.8919824957847595,0.4172675907611847
17,0.8836908936500549,0.4299711585044861,0.8927788734436035,0.4196030795574188
18,0.8861010670661926,0.425704687833786,0.8931545615196228,0.41861313581466675
19,0.8872174620628357,0.42431339621543884,0.8935507535934448,0.4147246181964874
20,0.8886407613754272,0.4216597378253937,0.8945904970169067,0.41445767879486084
21,0.8903172016143799,0.4186351001262665,0.8949524760246277,0.4121186137199402
22,0.890173614025116,0.41874590516090393,0.8960000276565552,0.4081283211708069
23,0.890838086605072,0.41759490966796875,0.8961851000785828,0.4079758822917938
24,0.8920470476150513,0.4155723452568054,0.8965243697166443,0.4088280498981476
25,0.8935198187828064,0.4128175675868988,0.8968542218208313,0.40623939037323
26,0.8944832682609558,0.41095253825187683,0.8974345922470093,0.4033719301223755
27,0.8944101333618164,0.41133439540863037,0.8971846699714661,0.40488412976264954
28,0.8957293629646301,0.40914127230644226,0.8978287577629089,0.4035174548625946
29,0.8966705799102783,0.40723204612731934,0.8980985283851624,0.4015299677848816
30,0.896135687828064,0.40814948081970215,0.8983914256095886,0.40635019540786743
31,0.89673912525177,0.406524658203125,0.8989413976669312,0.4042719304561615
32,0.8977414965629578,0.4052342176437378,0.8988640308380127,0.40295732021331787
33,0.8981713056564331,0.404192715883255,0.8992759585380554,0.4012274146080017
34,0.898767352104187,0.40278592705726624,0.8991867303848267,0.40217840671539307
35,0.8989900350570679,0.40270382165908813,0.8998240828514099,0.39707568287849426
36,0.8994967341423035,0.40156736969947815,0.8998439311981201,0.4015422761440277
37,0.9008492827415466,0.3989693820476532,0.8999461531639099,0.4059939980506897
38,0.901009202003479,0.3982855975627899,0.8997702598571777,0.39811331033706665
39,0.9022879600524902,0.39623352885246277,0.9002798199653625,0.401798278093338
40,0.9017544388771057,0.3975425064563751,0.9005821347236633,0.3999980390071869
41,0.9011147618293762,0.39811211824417114,0.9003002047538757,0.39957088232040405
42,0.9027278423309326,0.3954721689224243,0.9007795453071594,0.39808061718940735
43,0.9020750522613525,0.3966251611709595,0.9003217220306396,0.40081846714019775
44,0.9036273956298828,0.39361247420310974,0.9007874727249146,0.39899149537086487
45,0.9035619497299194,0.39383792877197266,0.9013301730155945,0.3997657895088196
46,0.9035220742225647,0.39383700489997864,0.9013171195983887,0.3976156711578369
47,0.9043501615524292,0.3921208083629608,0.9009301066398621,0.3963107764720917
